value,manufacturer,location,date_created_or_last_modified
42,"International Truck and Engine Corporation - Engine Electronics  (formerly Navistar Intl Trans Co., Engine Electronics)","Warrenville, IL  USA",2003-01-07
43,"International Truck and Engine Corporation - Vehicle Electronics (formerly Navistar Intl Trans Corp.)","Warrenville, IL  USA",2003-01-07
44,"Nippondenso Co. Ltd.","Kariya, Aichi  Japan",
45,PACCAR,"Mount Vernon, WA   USA",
46,"Noregon Systems, LLC  (formerly Noregon Systems, Inc)","Greensboro, NC   USA",2022-01-28
47,"Phillips Semiconductor","Sunnyvale, CA   USA",
48,"Pollak Alphabet","El Paso, TX   USA",
49,"RE America Inc.","Cleveland, OH   USA",
50,"Robert Bosch Corp","Broadview, IL  USA",
51,"Robert Bosch GmbH","Stuttgart, Germany",
52,"Meritor Automotive, Inc. (formerly Rockwell Automotive)","Troy, MI   USA",1997-11-01
53,"Continental Automotive Systems US, Inc. (formerly Rockwell Land Transportation)","Cedar Rapids, IA   USA",2008-11-09
54,"Meritor Wabco","Troy, MI   USA",
55,"Ryder System Inc.","Miami, FL   USA",
56,SAIC,"San Diego, CA   USA",
57,"Danfoss  (formerly Sauer Sundstrand Co, then Sauer-Danfoss Co)","Nordborg, Denmark",2013-11-07
58,"SPX Corporation, OTC Div","Owatonna, MN   USA",
59,"VES Inc.","Rock Hill, SC   USA",
60,"Volvo Trucks North America Inc.","Greensboro, NC   USA",1999-02-01
61,"Volvo Truck Corp.","Gothenburg, Sweden",
62,Wabco,"Hanover, Germany",
63,"ZF Industries Inc.","Vernon Hills, IL   USA",
64,"Unused (formerly SpectraPrecision Laserplane, then SpectraPhysics)",,2001-02-15
65,"MAN Nutzfahrzeuge AG","Munich, Germany",1999-02-01
66,"John Deere Construction Equipment Division","Dubuque, IA   USA",1999-11-11
67,"John Deere Coffeyville Works (formerly Funk Manufacturing Company)","Coffeyville, KS   USA",2006-12-22
68,Scania,"Södertälje, Sweden",
69,"Trimble Navigation",,
70,"Flex-coil Limited","Saskatoon, SK   Canada",
71,"Vansco Electronics Ltd.","Winnipeg, MB   Canada",
72,"Sisu Corporation","ESPOO, Finland",
73,"LeTourneau, Inc.","Longview, TX  USA",
74,"Eaton Axle-Brake Division","Kalamazoo, MI   USA",
75,"Deere & Co, Agricultural Division",,1998-02-01
76,"unused (formerly Deere & Co, Construction Division)",,1999-11-11
77,"Deere Power Systems Group",,1998-02-01
78,"Frank W. Murphy Manufacturing, Inc","Tulsa, OK   USA",1998-02-01
79,"Daimler Benz AG - Engine Division (PBM)","Stuttgart, Germany",1998-02-01
80,"Twin Disc, Inc.","Racine, WI   USA",1998-04-01
81,"Fire Research Corp.","Nesconset, NY   USA",1998-04-01
82,"Bobcat/Ingersoll-Rand (formerly Melroe/Ingersoll-Rand)","Fargo, ND   USA",2000-05-11
83,"Bendix VORAD Technologies (formerly Eaton VORAD Technologies)","San Diego, CA   USA",2012-04-13
84,"New Holland UK Limited","Basildon, Essex  UK",1999-11-11
85,"Kohler Co","Kohler, WI   USA",1999-11-11
86,"C. E. Niehoff & Company","Evanston, IL   USA",1999-11-11
87,"J.C. Bamford Excavators Ltd (JCB)","Rocester, Staffordshire  UK",1999-11-11
88,"Hemisphere GPS Inc (formerly Satloc Precision GPS)","Scottsdale, AZ   USA",2017-09-03
89,"Kverneland Group, Electronics Division","Nieuw-Vennep, The Netherlands",2000-02-10
90,"Knorr-Bremse SfN GmbH","Munich, Germany",2000-05-11
91,"BSG Bodensee Steuergeraete GmbH","Immenstaad, Germany",2000-05-11
92,"Ag-Chem Equipment Co., Inc.","Duluth, GA   USA",2015-08-20
93,"Perkins Engines Company Ltd.","Peterborough, UK",2000-08-10
94,"CNH Industrial N.V. (formerly CNH Global N.V.)","Racine, WI   USA",2014-10-27
95,"Pacific Insight Electronics Corp.","Nelson, BC   Canada",2000-08-10
96,"Mech@tronic IT GmbH","Hetzenhausen, Germany",2000-11-09
97,"Ag Leader Technology, Inc.","Ames, IA   USA",2000-11-09
98,"PTx Trimble (formerly Mueller-Elektronik GmbH & Co)","Westminster, CO  USA",2024-08-02
99,"International Transmissions Ltd (ITL)","Wrexham, North Wales  UK",2001-01-25
100,"VDO Technik AG","Rüthi, Switzerland",2001-02-21
101,Sensoria,"San Diego, CA   USA",2001-02-21
102,"AGCO (formerly AGCO GmbH & Co.)","Duluth, GA   USA",2015-08-20
103,"CLAAS E-Systems GmbH (formerly CLAAS E-Systems KGaA mbH & Co. KG)","Dissen, Germany",2018-12-10
104,"CLAAS KGaA mbH (formerly CLAAS Selbstfahrende Erntemaschinen GmbH)","Harsewinkel, Germany",2015-08-03
105,"Kiepe Elektrik GmbH & Co. KG","Duesseldorf, Germany",2001-05-25
106,"BAE Systems Controls, Inc.","Endicott, NY   USA",2015-06-12
107,"Grimme Landmaschinen GmbH & Co. KG","Damme, Germany",2001-06-28
108,"PTx Trimble (formerly WTK-Elecktronik GmbH, now a duplicate entry; use MFR ID 98)","Westminster, CO  USA",2024-08-02
109,"TeeJet Technologies Denmark (formerly LH Technologies ApS)","Aabybro, Denmark",2008-09-05
110,"EPIQ Sensor-Nite","Fenton, MI   USA",2001-09-19
111,"Bernard Krone Holding SE & Co. KG (formerly Maschinenfabrik Bernard Krone GmbH)","Spelle, Germany",2019-02-20
112,MECALAC,"Annecy le Vieux, France",2001-12-31
113,"Stress-Tek, Inc.","Kent, WA   USA",2002-01-14
114,"EControls, Inc.","San Antonio, TX   USA",2002-04-21
115,"NACCO Materials Handling Group, Inc.","Portland, OR   USA",2002-05-01
116,"BEELINE Technologies","Brisbane, QLD  Australia",2002-05-01
117,"HUSCO International","Waukesha, WI   USA",2002-05-29
118,"Intron GmbH","Schwaebisch Hall, Germany",2002-07-28
119,IntegriNautics  ,"Menlo Park, CA  USA",2002-07-30
120,"RDS Technology Ltd","Minchinhampton, Stroud  UK",2002-08-24
121,"HED (Hydro Electronic Devices, Inc.)","Hartford, WI  USA",2002-09-02
122,"FG Wilson (Engineering) Limited","Larne, County Antrim  UK",2002-09-13
123,"Basler Electric","Highland, IL  USA",2002-11-09
124,"Hydac Electronic","Saarbruecken, Germany",2003-01-28
125,"Nevada Automotive Test Center","Carson City, NV  USA",2003-02-20
126,"Driver Tech","Salt Lake City, UT  USA",2003-02-20
127,"Holland USA","Holland, MI  USA",2003-03-29
128,"Gerhard Duecker GmbH & Co. KG","Stadtlohn, Germany",2003-03-29
129,"OMNEX Control Systems Inc.","Port Coquitlam, BC  Canada",2003-03-31
130,"Nido - Universal Machines B.V.","Holten, The Netherlands",2003-04-28
131,"ITT Industries","Eden Prarie, MN  USA",2003-06-05
132,Mulag-Fahrzeugwerk,"Oppenau, Germany",2003-07-13
133,"Bucher Schoerling GmbH","Hannover, Germany",2003-07-13
134,"Iris Technology Ltd","Lancaster, Lancs   UK",2003-07-20
135,"Airmar Technology Corporation","Milford, NH USA",2003-08-20
136,"Komatsu Ltd","Hiratsuka, Kanagawa  Japan",2003-08-20
137,Maretron,"Phoenix AZ USA",
138,"Georg Fritzmeier GmbH & Co. KG","Grosshelfendorf, Germany",2003-09-15
139,"Caterpillar Trimble Control Technologies (CTCT), LLC","Dayton, OH  USA",2003-09-15
140,"Lowrance Electronics, Inc.","Tulsa, OK  USA",2003-09-18
141,"Thales Navigation Ltd.","Surrey, UK",2003-11-01
142,"TRW Automotive (Commercial Steering Systems)","Lafayette, IN   USA",2003-12-20
143,"W. Gmeiner GmbH & Co.","Kummersbruck, Germany",2003-12-20
144,"Mercury Marine","Fond du Lac, WI   USA",2003-12-20
145,"MurCal Controls","Palmdale, CA  USA",2003-12-31
146,"Maxima Technologies","Lancaster, PA   USA",2004-01-12
147,"Nautibus electronic GmbH","Quern, Germany",2004-01-24
148,"Blue Water Data, Inc.","Salem, NJ  USA",2004-01-24
149,Holset,"Charleston, SC  USA",2004-01-24
150,Fleetguard,"Nashville, TN  USA",2004-01-24
151,"Raven Industries, Inc.","Sioux Falls, SD   USA",2015-09-08
152,"elobau GmbH & Co. KG","Leutkirch, Germany",2009-11-30
153,"Woodward, Industrial Controls Division","Fort Collins, CO   USA",2004-05-01
154,"Westerbeke Corporation","Taunton, MA   USA",2004-05-01
155,"Vetronix Corporation","Santa Barbara, CA",2004-05-24
156,"ITT Industries - Cannon","Shakopee, MN   USA",2004-07-20
157,"ISSPRO Inc.","Portland, OR   USA",2004-07-20
158,"Firestone Industrial Products Company","Carmel, IN USA",2004-10-05
159,"NTech Industries Inc","Ukiah, CA   USA",2004-10-05
160,Nido,"Holten, The Netherlands",2004-10-05
161,"Offshore Systems (UK) Ltd","New Milton, Hampshire  UK",2004-10-05
162,"Axiomatic Technologies","Mississauga, ON   Canada",2004-10-05
163,"BRP Inc.","Waukegan, IL   USA",2004-10-05
164,"MTU Friedrichshafen GmbH (formerly DaimlerChrysler Off-Highway)","Friedrichshafen, Germany",2006-11-14
165,"CPAC Systems AB","Vastra Frolunda, Sweden",2004-10-05
166,"John Deere Electronic Solutions (formerly Phoenix International)","Fargo, ND   USA",2014-03-28
167,"JLG Industries Inc","McConnellsburg, PA  USA",2004-10-20
168,Xantrex,"Burnaby, BC  Canada",2004-12-15
169,"Marlin Technologies Inc.","Horicon, WI  USA",2004-12-15
170,"Computronics Corporation Ltd.","Bentley, WA  Australia",2004-12-15
171,"Topcon Electronics GmbH & Co. KG (formerly Wachendorff Elektronik GmbH & Co. KG)","Geisenheim, Germany",2018-06-14
172,"Yanmar Co., Ltd. (formerly Yanmar Marine USA)","Maibara, Shiga  Japan",2015-07-14
173,"Ryeso, Inc.","Palmdale, CA   USA",2005-01-20
174,"AB Volvo Penta","Goteburg, Sweden",2005-01-20
175,"Veris Technologies, Inc.","Salina, KS   USA",2005-01-20
176,"Moritz Aerospace","Dublin, PA   USA",2005-01-25
177,"Diagnostic Systems Associates","Kalamazoo, MI   USA",2005-03-02
178,"Continental Automotive GmbH (formerly Siemens VDO Automotive AG)","Regensburg, Germany",2015-07-16
179,"TeeJet Technologies Springfield (formerly Midwest Technologies Illinois, LLC)","Springfield, IL   USA",2008-09-05
180,"Smart Power Systems","Reed City, MI    USA",2005-04-15
181,"Coretronics, Inc.","Eagle, ID   USA",2005-04-15
182,"Vehicle Systems Engineering B.V.","Veenendaal, The Netherlands",2005-06-05
183,"KDS Controls, Inc","Troy, MI   USA",2005-06-05
184,"EIA Electronics","Aartselaar, Belguim",2005-06-21
185,"Beede Electrical Instrument Company","Penacock, NH  USA",2005-07-01
186,"Altronic, Inc","Girard, OH  USA",2005-08-01
187,Air-Weigh,"Eugene, OR   USA",2005-08-12
188,"EMP Corp","Escanaba, MI   USA",2005-08-12
189,QUALCOMM,"San Diego, CA   USA",2005-08-12
190,"Hella KGaA Hueck & Co","Lippstadt, Germany",2005-08-12
191,"XRS Corporation (formerly XATA Corporation)","Eden Prairie, MN  USA",2012-12-12
192,Floscan,"Seattle, WA  USA",2005-08-31
193,"Jeppesen Marine","Portland, OR  USA",2005-08-31
194,"TriMark Corporation","New Hampton, IA  USA",2005-08-31
195,"General Engine Products","Livonia, MI  USA",2005-10-21
196,"LEMKEN GmbH & Co KG","Alpen,  Germany",2005-10-21
197,"Mechron Power Systems","Ottawa, ON   Canada",2005-10-21
198,"Mystic Valley Communications","Mystic, CT  USA",2005-10-21
199,"ACTIA Group (formerly Actia Corp)","Toulouse, France",2017-07-11
200,"MGM Brakes","Charlotte, NC  USA",2005-11-01
201,"Disenos y Tecnologia S.A.","Barcelona, Spain",2005-11-10
202,"Curtis Instruments, Inc","Mount Kisco, NY  USA",2005-11-14
203,"MILtronik GmbH","Hilden, Germany",2006-01-03
204,"The Morey Corporation","Woodridge, IL  USA",2006-01-13
205,"SmarTire Systems Inc","Richmond, BC  Canada",2006-01-13
206,"port GmbH","Halle, Germany",2006-02-02
207,"Otto Engineering","Carpentersville, IL   USA",2006-02-09
208,"Drew Technologies, Inc","Whitmore Lake, MI  USA",2006-02-09
209,"Bell Equip. Co. SA (PTY) LTD","Richards Bay, South Africa",2006-03-14
210,"Iteris, Inc.","Anaheim, CA  USA",2006-03-14
211,"DNA Group","Raleigh, NC   USA",2006-03-22
212,"Sure Power Industries, Inc","Tualatin, OR   USA",2006-03-22
213,"CNH Belgium N.V.","Zedelgem, Belgium",2006-03-24
214,"MC elettronica Srl","Fiesso Umbertiano, Rovigo, Italy",2006-03-24
215,"Aetna Engineering/Fireboy-Xintex","Grand Rapids, MI  USA",2006-04-03
216,"Paneltronics Inc.","Hialeah Gardens, FL  USA",2006-04-02
217,"RM Michaelides Software & Elektronik GmbH","Fulda, Germany",2006-04-21
218,"Gits Manufacturing Company","Creston, IA  USA",2006-04-21
219,"Cat OEM Solutions","Mossville, IL  USA",2006-04-25
220,"Beede Electrical Instrument Company, Inc","Penacook, NH  USA",2006-04-29
221,SiE,"Kempten/Allgaeu, Germany",2006-06-05
222,"Generac Power Systems, Inc.","Waukesha, WI, USA",2006-08-03
223,"Vaueo Retarder Co., Ltd.","Shajin, Baoan, Shen Zhen  China",2006-08-20
224,"EMMI Network, S.L.","Gandia, Spain",2006-08-20
225,SKF,"Gothenburg, Sweden",2006-08-31
226,"Monaco Coach Corporation","Bend, OR  USA",2006-09-16
227,"Lykketronic A/S","Loegstoer, Denmark",2006-10-15
228,"Unused (formerly ZF Marine Electronics)",,2015-07-27
229,"Garmin International Inc.","Olathe, KS  USA",2006-10-15
230,"Saucon Technologies","Bethlehem, PA  USA",2006-11-06
231,"Topcon Positioning Systems, Inc.","Livermore, CA  USA",2006-11-13
232,"TSD Integrated Controls","Minneapolis, MN  USA",2006-11-13
233,"Yacht Monitoring Solutions Inc.","Corpus Christi, TX   USA",2006-11-14
234,"Mondial electronic GmbH","Eggelsberg, Austria",2006-12-22
235,"SailorMade Marine Telemetry - Tetra Technology Ltd.","Florianopolis, Brazil",2006-12-22
236,"NORAC Systems International Inc","Saskatoon, SK  Canada",2015-07-27
237,"Agtron Enterprises Inc","Saskatoon, SK  Canada",2007-01-20
238,"ZF Friedrichshafen AG","Friedrichshafen, Germany",2007-01-20
239,"May & Scofield Ltd","Basingstoke, Hants, UK",2007-01-20
240,"Vanair Mfg","New Buffalo, MI   USA",2007-01-20
241,"Schneider Automation SAS","Sophia Antipolis, France",2007-01-20
242,"Kokusandenki Co. Ltd","Numazu, Shizuoka  Japan",2007-01-20
243,"eRide, Inc.","San Francisco, CA   USA",2007-02-18
244,Techno-Matic,"Aars, Denmark",2007-03-11
245,"Capstan Ag Systems, Inc.","Topeka, KS   USA",2007-03-11
246,"Class 1, Inc","Ocala, FL  USA",2007-04-24
247,ePULSE,"Troy, MI  USA",2007-04-29
248,"Cooper Standard Automotive Active Systems Group","Mitchell, ON  Canada",2008-02-15
249,"Schaltbau GmbH","Munich, Germany",2007-06-15
250,"Kuhn Group","Saverne, France",2007-06-15
251,"German Agricultural Society, Test Center (DLG)","Gross-Ultstadt, Germany",2007-06-15
252,"Sensor-Technik Wiedemann GmbH","Kaufbeuren, Germany",2007-06-15
253,"Mobile Control Systems","Brussels, Belgium",2007-06-15
254,"GE Sensing","St. Marys, PA  USA",2007-06-18
255,"MEAS France","Toulouse, France",2007-07-20
256,"Tyco Electronics AMP","Osan-Si, Kyunggi-Do, Korea",2007-07-20
257,"Honda Motor Co., Ltd","Wako-city, Saitama  Japan",2007-07-28
258,ARAG,"Rubiera, Italy",2007-08-13
259,"Bucher Automation AG (formerly Jetter AG)","Ludwigsburg, Germany",2024-01-19
260,"Reichhardt GmbH Steuerungstechnik","Hungen, Germany",2007-08-13
261,"Red Dot Corporation","Seattle, WA  USA",2007-08-13
262,"HydraForce, Inc","Lincolnshire, IL  USA",2007-08-13
263,IMMI,"Westfield, IN  USA",2007-08-14
264,Autolync,"Clayton, Victoria  Australia",2007-09-03
265,"MTS Sensor Technologie GmbH","Luedenscheid, Germany",2007-09-05
266,"International Thermal Research Ltd","Richmond, BC   Canada",2007-09-27
267,"Red Lion Controls, Inc","York, PA  USA",2007-09-27
268,"Accurate Technologies","Wixom, MI   USA",2007-10-13
269,"Saft America Inc.,  Space & Defense Division","Cockeysville, MD  USA",2007-11-10
270,Tennant,"Minneapolis, MN  USA",2007-11-10
271,"Cole Hersee","South Boston, MA   USA",2007-11-10
272,"Gross Mechanical Laboratories, Inc","Hanover, MD   USA",2007-11-30
273,"Active Research Limited","Poole, Dorset, UK",2007-11-30
274,"LTW Technology Co., LTD","Shinjuang City, Taipei Hsien, Taiwan  R.O.C.",2007-11-30
275,"Navico Egersund AS","Egersund, Norway",2007-12-17
276,"Aqua-Hot Heating Systems","Fort Lupton, CO  USA",2008-01-27
277,"LHP Telematics","Columbus, IN  USA",2008-01-27
278,"Takata Electronics","Farmington Hills, MI  USA",2008-02-15
279,"Geometris LP","Houston, TX   USA",2008-02-15
280,"Leica Geosystems Pty Ltd","Brisbane, Queensland   Australia",2008-02-18
281,"Precision Governors LLC","Rockford, IL   USA",2008-02-23
282,"Medallion Instrumentation Systems","Spring Lake, MI  USA",2008-03-14
283,"CWF Hamilton & Co Ltd","Christchurch, New Zealand",2008-03-14
284,"Mobile Tech Chile","Concepcion, Bio Bio  Chile",2008-05-11
285,"Sea Recovery Corp","Rancho Dominguez, CA   USA",2008-05-11
286,"Coelmo srl","Acerra, Italy",2008-05-11
287,"NTech Industries, Inc","Ukiah, CA   USA",2008-05-11
288,"Mitsubishi FUSO Truck & Bus Corp.","Kawasaki, Kanagawa  Japan",2008-05-21
289,Watlow,"St. Louis, MO   USA",2008-05-21
290,"Kuebler GmbH","VS-Schwenningen, Germany",2008-07-12
291,"Groeneveld Transport Efficiency BV","Gorinchem, The Netherlands",2008-07-12
292,"IKUSI - Angel Iglesias S.A.","San Sebastian, Guipuzcoa  Spain",2008-07-12
293,"Spyder Controls Corp.","Lacombe, AB   Canada",2008-07-12
294,"Grayhill Inc.","LaGrange, IL   USA",2008-07-12
295,"BEP Marine","Albany, North Shore City  New Zealand",2008-07-12
296,"micro dynamics GmbH","Cologne, Germany",2008-07-16
297,"Zonar Systems Inc","Seattle, WA   USA",2008-07-26
298,"Holley Performance","Bowling Green, KY   USA",2008-07-26
299,Rauch,"Sinzheim, Germany",2008-08-11
300,"Systron Donner Automotive","Concord, CA   USA",2008-08-11
301,"Parker Hannifin (UK) Ltd FDE group","Thetford, Norfolk  UK",2008-08-14
302,"Nissin Kogyo Co., LTD","Ueda-city, Nagano prefecture  Japan",2008-09-05
303,"CTS Corporation","Elkhart, IN   USA",2008-09-05
304,"EmpirBus AB","Uddevalla, Sweden",2008-09-05
305,"NovAtel Inc","Calgary, AB   Canada",2008-09-20
306,"Sleipner Motor AB","Fredrikstad, Norway",2008-09-20
307,"MAS Technologies","Harleysville, PA  USA",2008-09-20
308,Cyntrx,"De Pere, WI   USA",2008-10-31
309,"Krauss-Maffei Wegmann GmbH & Co. KG","Munich, Germany",2008-10-31
310,"TECNORD srl","Modena, Italy",2008-10-31
311,"Patrick Power Products","Elkridge, MD   USA",2008-11-09
312,"Lectronix, Inc.","Lansing, MI   USA",2008-11-20
313,"Ilmor Engineering, Inc.","Plymouth, MI   USA",2008-12-02
314,"CSM GmbH","Filderstadt, Germany",2008-12-08
315,"Icom Incorporated","Osaka, Japan",2008-12-15
316,"ITT Flow Control","Santa Ana, CA  USA",2008-12-18
317,"Navtronics Bvba","Geel, Belgium",2009-01-19
318,"SAT Plan","Beauvais Tillé, Oise  France",2009-01-19
319,"Cadec Global","Manchester, NH   USA",2009-01-19
320,"Miedema Landbouwwerktuigenfabriek B.V.","Winsum, The Netherlands",2009-01-19
321,"Ultra Electronics, Electrics","Cheltenham, UK",2009-01-19
322,"MICHENKA s.r.o.","Koprivnice, Czech Republic",2009-01-19
323,"Mobileye Vision Technologies Ltd.","Jerusalem, Israel",2009-02-01
324,"Snap-on Diagnostics","Lincolnshire, IL  USA",2009-02-01
325,"ASM Automation Sensorik Messtechnik GmbH","Moosinning, Germany",2009-02-04
326,"Akron Brass Company","Wooster, OH  USA",2009-02-12
327,"Sonceboz SA","Sonceboz, Switzerland",2009-02-12
328,"Qwerty Electronik AB","Bagarmossen, Sweden",2009-03-22
329,"Deif A/S","Skive, Denmark",2009-03-22
330,"Kidde Aerospace and Defense","Wilson, NC  USA",2009-03-22
331,"Horton, Inc.","Roseville, MN  USA",2009-03-22
332,"HWH Corporation","Moscow, IA  USA",2009-04-10
333,"Link Manufacturing, Ltd. (formerly Hadley Products Corporation)","Sioux Center, IA  USA",2021-08-12
334,"Takata-Petri AG","Aschaffenburg, Germany",2009-04-19
335,"Evo Electric Ltd","Woking, Surrey, UK",2009-05-15
336,"APE s.r.o.","Bradlec, Czech Republic",2009-05-18
337,"Carraro S.p.A.","Campodarsego, Italy",2009-05-18
338,GRAF-SYTECO,"Tuningen, Germany",2009-06-21
339,"Competence Center ISOBUS e.V.","Osnabrück, Germany",2015-07-27
340,"Continental AG","Hannover, Germany",2009-06-24
341,"Boning GmbH & Co","Ganderkesee, Germany",2009-07-01
342,"THOMAS MAGNETE GmbH","Herdorf, Germany",2009-07-25
343,"Baumer Group","Villingen-Schwenningen, Germany",2009-07-25
344,"Parvus Corporation","Salt Lake City, UT   USA",2009-07-25
345,"Korean Maritime University","Busan, Korea",2009-07-25
346,"Control Solutions","Aurora, IL  USA",2009-08-09
347,Honeywell,"Morristown, NJ   USA",2009-08-21
348,"Amazonen Werke H. Dreyer","Hasbergen, Germany",2009-08-21
349,Suonentieto,"Kuopio, Finland",2009-08-21
350,"Noris Marine Systems GmbH & Co KG","Nuremberg, Germany",2009-08-21
351,"Thrane & Thrane","Gentofte, Denmark",2009-08-30
352,"SAME DEUTZ-FAHR GROUP S.p.A.","Treviglio, Italy",2015-07-27
353,"Hegemon Electronics, Inc.","Sterling Heights, MI  USA",2009-09-20
354,"Junkkari OY","Yliharma, Finland",2009-10-08
355,"Mastervolt International B.V.","Amsterdam, The Netherlands",2009-10-09
356,"Fischer Panda Generators, Inc","Oakland Park, FL   USA",2009-10-20
357,"Hardi International A/S","Taastrup, Denmark",2009-11-08
358,"Victron Energy B.V.","Almere-Haven, The Netherlands",2009-11-08
359,"Ludwig Bergmann GmbH","Goldenstedt, Germany",2009-11-08
360,"HJS Emission Technology GmbH & Co KG   (formerly HJS Fahrzeugtechnik GmbH & Co KG)","Menden, Germany",2011-02-03
361,InMach,"Ulm, Germany",2010-01-15
362,"Poettinger Landtechnik GmbH (formerly Alois Poettinger Maschinenfabrik GmbH)","Grieskirchen, Austria",2017-01-05
363,"BEI Duncan","Goleta, CA   USA",2010-01-30
364,"OEM Controls Inc.","Shelton, CT   USA",2010-01-30
365,"Digi-Star, LLC","Fort Atkinson, WI   USA",2010-01-30
366,"Viewnyx Corp.","Kanata, ON   Canada",2010-01-30
367,"Fliegl Agrartechnik","Muehldorf am Inn, Germany",2013-09-12
368,HANSENHOF_electronic,"Reifland, Germany",2010-01-30
369,"Power Torque Engineering Ltd","Coventry, UK",2010-02-14
370,"Rolls-Royce Marine AS","Aalesund, Norway",2010-05-15
371,"Heinzmann GmbH & Co. KG","Schoenau, Germany",2010-04-01
372,Delphi,"Auburn Hills, MI  USA",2010-04-01
373,"Electronic Design Inc.","Sheboygan, WI  USA",2010-05-15
374,"Northern Lights, Inc.","Seattle, WA  USA",2010-05-15
375,"Williams Controls Inc.","Portland, OR  USA",2010-05-15
376,"Quake Global","San Diego, CA  USA",2010-06-15
377,"ifm electronic gmbh","Essen, Germany",2010-06-15
378,"Glendinning Marine Products","Conway, SC  USA",2010-06-15
379,"Yamabiko Corporation","Iwate, Japan",2010-06-20
380,"Suntech International Ltd.","Seoul, Korea",2010-06-20
381,"B & G","Romsey, UK",2010-08-20
382,"National Agriculture and Food Research Organization","Ibaraki, Japan",2011-07-01
383,"MCL Industries","Pulaski, WI   USA",2010-08-20
384,"Camano Light","Camano Island, WA  USA",2010-08-20
385,"Johnson Outdoor Marine Electronics","Alpharetta, GA  USA",2010-08-20
386,"JLG Automation BVBA","Gent, Belgium",2010-08-20
387,"Orscheln Products, LLC","Moberly, MO  USA",2010-08-20
388,"Innomatix, LLC","Iowa City, IA  USA",2010-08-20
389,"Benchmark Electronics, Minnesota Division","Rochester, MN  USA",2010-08-20
390,"Partech Inc.","Lake Orion, MI  USA",2010-08-20
391,"Electronic Design for Industry, Inc","Belpre, OH  USA",2010-08-20
392,"Tianyuan Technology Co Ltd.","Shijiazhuang, China",2010-08-28
393,"Harvest Tec, Inc","Hudson, WI  USA",2010-08-28
394,"Capi 2 Nederland B.V.","Nuenen, The Netherlands",2010-09-15
395,"GENTEC S.R.L.","Villa Constitucion, Argentina",2010-09-20
396,"Beyond Measure","Appleton, WI  USA",2011-01-03
397,"Sanyo-kiki Co Ltd.","Okayama, Japan",2010-10-30
398,"Hilite International","Marktheidenfeld, Germany",2010-10-30
399,"ISEKI & Co., Ltd.","Ehime, Japan",2010-11-01
400,"Livorsi Marine","Grayslake, IL  USA",2010-11-03
401,"Torqeedo GmbH","Stamberg, Germany",2010-11-03
402,"Simma Software, Inc.","Terre Haute, IN   USA",2010-12-15
403,"Trackwell ADS, Inc.","Houston, TX  USA",2010-12-15
404,"Com Nav Marine Ltd","Richmond, BC  Canada",2010-12-15
